Strategy_ID,Assets,Strategies,Conditions,Return,Direction,Probability
S01,BTC-USD,Long: macd_crossed_up,rsi_neutral,0.0149 ± 0.1034,longonly,0.87
S02,BTC-USD,Long: macd_crossed_up,rsi_oversold,nan ± nan,longonly,0.00
S03,BTC-USD,Long: macd_crossed_up,rsi_overbought,0.0449 ± 0.1049,longonly,0.13
S04,BTC-USD,Long: macd_crossed_up,rebound,0.0191 ± 0.1098,longonly,0.62
S05,BTC-USD,Long: macd_crossed_up,bearish,nan ± nan,longonly,0.00
S06,BTC-USD,Long: macd_crossed_up,bullish,0.0185 ± 0.0936,longonly,0.38
S07,BTC-USD,Long: macd_crossed_up,retrace,nan ± nan,longonly,0.00
S08,BTC-USD,Short: macd_crossed_down,rsi_neutral,-0.0101 ± 0.0792,shortonly,0.95
S09,BTC-USD,Short: macd_crossed_down,rsi_oversold,nan ± nan,shortonly,0.00
S10,BTC-USD,Short: macd_crossed_down,rsi_overbought,-0.0763 ± 0.0121,shortonly,0.05
S11,BTC-USD,Short: macd_crossed_down,rebound,nan ± nan,shortonly,0.00
S12,BTC-USD,Short: macd_crossed_down,bearish,0.0167 ± 0.0778,shortonly,0.34
S13,BTC-USD,Short: macd_crossed_down,bullish,nan ± nan,shortonly,0.00
S14,BTC-USD,Short: macd_crossed_down,retrace,-0.0285 ± 0.0758,shortonly,0.66
S15,BTC-USD,Long: mean_reversion,rsi_neutral,0.0431 ± 0.1449,longonly,1.00
S16,BTC-USD,Long: mean_reversion,rsi_oversold,nan ± nan,longonly,0.00
S17,BTC-USD,Long: mean_reversion,rsi_overbought,nan ± nan,longonly,0.00
S18,BTC-USD,Long: mean_reversion,rebound,-0.0355 ± nan,longonly,0.08
S19,BTC-USD,Long: mean_reversion,bearish,0.1306 ± 0.1954,longonly,0.42
S20,BTC-USD,Long: mean_reversion,bullish,nan ± nan,longonly,0.00
S21,BTC-USD,Long: mean_reversion,retrace,-0.0167 ± 0.0496,longonly,0.50
S22,BTC-USD,Short: mean_reversion,rsi_neutral,0.0058 ± 0.0509,shortonly,0.81
S23,BTC-USD,Short: mean_reversion,rsi_oversold,nan ± nan,shortonly,0.00
S24,BTC-USD,Short: mean_reversion,rsi_overbought,-0.0648 ± 0.0863,shortonly,0.19
S25,BTC-USD,Short: mean_reversion,rebound,0.0194 ± 0.0582,shortonly,0.38
S26,BTC-USD,Short: mean_reversion,bearish,nan ± nan,shortonly,0.00
S27,BTC-USD,Short: mean_reversion,bullish,-0.0307 ± 0.0731,shortonly,0.43
S28,BTC-USD,Short: mean_reversion,retrace,-0.0099 ± 0.0302,shortonly,0.19
S29,ETH-USD,Long: macd_crossed_up,rsi_neutral,0.0160 ± 0.1710,longonly,1.00
S30,ETH-USD,Long: macd_crossed_up,rsi_oversold,nan ± nan,longonly,0.00
S31,ETH-USD,Long: macd_crossed_up,rsi_overbought,nan ± nan,longonly,0.00
S32,ETH-USD,Long: macd_crossed_up,rebound,0.0292 ± 0.1971,longonly,0.73
S33,ETH-USD,Long: macd_crossed_up,bearish,nan ± nan,longonly,0.00
S34,ETH-USD,Long: macd_crossed_up,bullish,-0.0203 ± 0.0455,longonly,0.27
S35,ETH-USD,Long: macd_crossed_up,retrace,nan ± nan,longonly,0.00
S36,ETH-USD,Short: macd_crossed_down,rsi_neutral,-0.0124 ± 0.0865,shortonly,0.93
S37,ETH-USD,Short: macd_crossed_down,rsi_oversold,0.0447 ± 0.1394,shortonly,0.07
S38,ETH-USD,Short: macd_crossed_down,rsi_overbought,nan ± nan,shortonly,0.00
S39,ETH-USD,Short: macd_crossed_down,rebound,nan ± nan,shortonly,0.00
S40,ETH-USD,Short: macd_crossed_down,bearish,0.0084 ± 0.0831,shortonly,0.43
S41,ETH-USD,Short: macd_crossed_down,bullish,nan ± nan,shortonly,0.00
S42,ETH-USD,Short: macd_crossed_down,retrace,-0.0214 ± 0.0943,shortonly,0.57
S43,ETH-USD,Long: mean_reversion,rsi_neutral,0.0196 ± 0.1711,longonly,0.86
S44,ETH-USD,Long: mean_reversion,rsi_oversold,-0.0477 ± 0.0617,longonly,0.14
S45,ETH-USD,Long: mean_reversion,rsi_overbought,nan ± nan,longonly,0.00
S46,ETH-USD,Long: mean_reversion,rebound,-0.0465 ± nan,longonly,0.05
S47,ETH-USD,Long: mean_reversion,bearish,0.0335 ± 0.1990,longonly,0.62
S48,ETH-USD,Long: mean_reversion,bullish,nan ± nan,longonly,0.00
S49,ETH-USD,Long: mean_reversion,retrace,-0.0256 ± 0.0615,longonly,0.33
S50,ETH-USD,Short: mean_reversion,rsi_neutral,0.0051 ± 0.1164,shortonly,0.81
S51,ETH-USD,Short: mean_reversion,rsi_oversold,nan ± nan,shortonly,0.00
S52,ETH-USD,Short: mean_reversion,rsi_overbought,-0.1659 ± 0.1491,shortonly,0.19
S53,ETH-USD,Short: mean_reversion,rebound,-0.0641 ± 0.1049,shortonly,0.38
S54,ETH-USD,Short: mean_reversion,bearish,nan ± nan,shortonly,0.00
S55,ETH-USD,Short: mean_reversion,bullish,-0.0047 ± 0.1528,shortonly,0.62
S56,ETH-USD,Short: mean_reversion,retrace,nan ± nan,shortonly,0.00
S57,ADA-USD,Long: macd_crossed_up,rsi_neutral,0.0433 ± 0.3979,longonly,0.93
S58,ADA-USD,Long: macd_crossed_up,rsi_oversold,0.6179 ± nan,longonly,0.03
S59,ADA-USD,Long: macd_crossed_up,rsi_overbought,-0.0129 ± 0.5569,longonly,0.05
S60,ADA-USD,Long: macd_crossed_up,rebound,0.0532 ± 0.4324,longonly,0.85
S61,ADA-USD,Long: macd_crossed_up,bearish,nan ± nan,longonly,0.00
S62,ADA-USD,Long: macd_crossed_up,bullish,0.0643 ± 0.1854,longonly,0.15
S63,ADA-USD,Long: macd_crossed_up,retrace,nan ± nan,longonly,0.00
S64,ADA-USD,Short: macd_crossed_down,rsi_neutral,-0.0045 ± 0.1601,shortonly,0.90
S65,ADA-USD,Short: macd_crossed_down,rsi_oversold,-0.0144 ± 0.0263,shortonly,0.08
S66,ADA-USD,Short: macd_crossed_down,rsi_overbought,0.0857 ± nan,shortonly,0.03
S67,ADA-USD,Short: macd_crossed_down,rebound,nan ± nan,shortonly,0.00
S68,ADA-USD,Short: macd_crossed_down,bearish,-0.0306 ± 0.1702,shortonly,0.51
S69,ADA-USD,Short: macd_crossed_down,bullish,nan ± nan,shortonly,0.00
S70,ADA-USD,Short: macd_crossed_down,retrace,0.0261 ± 0.1288,shortonly,0.49
S71,ADA-USD,Long: mean_reversion,rsi_neutral,-0.0289 ± 0.0975,longonly,0.94
S72,ADA-USD,Long: mean_reversion,rsi_oversold,0.3957 ± nan,longonly,0.06
S73,ADA-USD,Long: mean_reversion,rsi_overbought,nan ± nan,longonly,0.00
S74,ADA-USD,Long: mean_reversion,rebound,nan ± nan,longonly,0.00
S75,ADA-USD,Long: mean_reversion,bearish,0.0203 ± 0.1336,longonly,0.78
S76,ADA-USD,Long: mean_reversion,bullish,nan ± nan,longonly,0.00
S77,ADA-USD,Long: mean_reversion,retrace,-0.0950 ± 0.1277,longonly,0.22
S78,ADA-USD,Short: mean_reversion,rsi_neutral,0.0578 ± 0.0567,shortonly,0.85
S79,ADA-USD,Short: mean_reversion,rsi_oversold,nan ± nan,shortonly,0.00
S80,ADA-USD,Short: mean_reversion,rsi_overbought,-0.3951 ± 0.4942,shortonly,0.15
S81,ADA-USD,Short: mean_reversion,rebound,0.0524 ± 0.0610,shortonly,0.65
S82,ADA-USD,Short: mean_reversion,bearish,nan ± nan,shortonly,0.00
S83,ADA-USD,Short: mean_reversion,bullish,-0.1630 ± 0.4041,shortonly,0.30
S84,ADA-USD,Short: mean_reversion,retrace,0.0934 ± nan,shortonly,0.05
S85,SOL-USD,Long: macd_crossed_up,rsi_neutral,0.0602 ± 0.3140,longonly,0.95
S86,SOL-USD,Long: macd_crossed_up,rsi_oversold,nan ± nan,longonly,0.00
S87,SOL-USD,Long: macd_crossed_up,rsi_overbought,-0.0240 ± 0.0467,longonly,0.05
S88,SOL-USD,Long: macd_crossed_up,rebound,0.0158 ± 0.2743,longonly,0.72
S89,SOL-USD,Long: macd_crossed_up,bearish,nan ± nan,longonly,0.00
S90,SOL-USD,Long: macd_crossed_up,bullish,0.1619 ± 0.3723,longonly,0.28
S91,SOL-USD,Long: macd_crossed_up,retrace,nan ± nan,longonly,0.00
S92,SOL-USD,Short: macd_crossed_down,rsi_neutral,-0.0137 ± 0.1459,shortonly,0.97
S93,SOL-USD,Short: macd_crossed_down,rsi_oversold,-0.1590 ± nan,shortonly,0.03
S94,SOL-USD,Short: macd_crossed_down,rsi_overbought,nan ± nan,shortonly,0.00
S95,SOL-USD,Short: macd_crossed_down,rebound,nan ± nan,shortonly,0.00
S96,SOL-USD,Short: macd_crossed_down,bearish,-0.0470 ± 0.0701,shortonly,0.41
S97,SOL-USD,Short: macd_crossed_down,bullish,nan ± nan,shortonly,0.00
S98,SOL-USD,Short: macd_crossed_down,retrace,0.0032 ± 0.1798,shortonly,0.59
S99,SOL-USD,Long: mean_reversion,rsi_neutral,0.0376 ± 0.3484,longonly,1.00
S100,SOL-USD,Long: mean_reversion,rsi_oversold,nan ± nan,longonly,0.00
S101,SOL-USD,Long: mean_reversion,rsi_overbought,nan ± nan,longonly,0.00
S102,SOL-USD,Long: mean_reversion,rebound,0.9085 ± nan,longonly,0.08
S103,SOL-USD,Long: mean_reversion,bearish,-0.0861 ± 0.3063,longonly,0.42
S104,SOL-USD,Long: mean_reversion,bullish,nan ± nan,longonly,0.00
S105,SOL-USD,Long: mean_reversion,retrace,-0.0046 ± 0.1511,longonly,0.50
S106,SOL-USD,Short: mean_reversion,rsi_neutral,0.0001 ± 0.2385,shortonly,0.88
S107,SOL-USD,Short: mean_reversion,rsi_oversold,nan ± nan,shortonly,0.00
S108,SOL-USD,Short: mean_reversion,rsi_overbought,-0.3252 ± 0.8333,shortonly,0.12
S109,SOL-USD,Short: mean_reversion,rebound,-0.0963 ± 0.1706,shortonly,0.25
S110,SOL-USD,Short: mean_reversion,bearish,nan ± nan,shortonly,0.00
S111,SOL-USD,Short: mean_reversion,bullish,-0.0219 ± 0.3712,shortonly,0.75
S112,SOL-USD,Short: mean_reversion,retrace,nan ± nan,shortonly,0.00
S113,MKR-USD,Long: macd_crossed_up,rsi_neutral,0.0232 ± 0.1833,longonly,0.93
S114,MKR-USD,Long: macd_crossed_up,rsi_oversold,nan ± nan,longonly,0.00
S115,MKR-USD,Long: macd_crossed_up,rsi_overbought,0.1603 ± 0.3367,longonly,0.07
S116,MKR-USD,Long: macd_crossed_up,rebound,0.0321 ± 0.2129,longonly,0.66
S117,MKR-USD,Long: macd_crossed_up,bearish,nan ± nan,longonly,0.00
S118,MKR-USD,Long: macd_crossed_up,bullish,0.0335 ± 0.1591,longonly,0.34
S119,MKR-USD,Long: macd_crossed_up,retrace,nan ± nan,longonly,0.00
S120,MKR-USD,Short: macd_crossed_down,rsi_neutral,0.0002 ± 0.1440,shortonly,0.95
S121,MKR-USD,Short: macd_crossed_down,rsi_oversold,-0.0454 ± 0.0299,shortonly,0.05
S122,MKR-USD,Short: macd_crossed_down,rsi_overbought,nan ± nan,shortonly,0.00
S123,MKR-USD,Short: macd_crossed_down,rebound,nan ± nan,shortonly,0.00
S124,MKR-USD,Short: macd_crossed_down,bearish,0.0030 ± 0.1119,shortonly,0.40
S125,MKR-USD,Short: macd_crossed_down,bullish,nan ± nan,shortonly,0.00
S126,MKR-USD,Short: macd_crossed_down,retrace,-0.0051 ± 0.1592,shortonly,0.60
S127,MKR-USD,Long: mean_reversion,rsi_neutral,-0.0306 ± 0.1079,longonly,1.00
S128,MKR-USD,Long: mean_reversion,rsi_oversold,nan ± nan,longonly,0.00
S129,MKR-USD,Long: mean_reversion,rsi_overbought,nan ± nan,longonly,0.00
S130,MKR-USD,Long: mean_reversion,rebound,0.0554 ± nan,longonly,0.10
S131,MKR-USD,Long: mean_reversion,bearish,-0.0518 ± 0.1327,longonly,0.60
S132,MKR-USD,Long: mean_reversion,bullish,nan ± nan,longonly,0.00
S133,MKR-USD,Long: mean_reversion,retrace,-0.0170 ± 0.0550,longonly,0.30
S134,MKR-USD,Short: mean_reversion,rsi_neutral,0.0108 ± 0.1282,shortonly,0.90
S135,MKR-USD,Short: mean_reversion,rsi_oversold,nan ± nan,shortonly,0.00
S136,MKR-USD,Short: mean_reversion,rsi_overbought,-0.0975 ± 0.2677,shortonly,0.10
S137,MKR-USD,Short: mean_reversion,rebound,0.0702 ± 0.1165,shortonly,0.25
S138,MKR-USD,Short: mean_reversion,bearish,nan ± nan,shortonly,0.00
S139,MKR-USD,Short: mean_reversion,bullish,-0.0234 ± 0.1427,shortonly,0.75
S140,MKR-USD,Short: mean_reversion,retrace,nan ± nan,shortonly,0.00
S141,OP-USD,Long: macd_crossed_up,rsi_neutral,39.3857 ± 255.2535,longonly,0.89
S142,OP-USD,Long: macd_crossed_up,rsi_oversold,nan ± nan,longonly,0.00
S143,OP-USD,Long: macd_crossed_up,rsi_overbought,-0.0955 ± 0.1315,longonly,0.11
S144,OP-USD,Long: macd_crossed_up,rebound,50.1307 ± 287.9642,longonly,0.70
S145,OP-USD,Long: macd_crossed_up,bearish,nan ± nan,longonly,0.00
S146,OP-USD,Long: macd_crossed_up,bullish,-0.0422 ± 0.1463,longonly,0.30
S147,OP-USD,Long: macd_crossed_up,retrace,nan ± nan,longonly,0.00
S148,OP-USD,Short: macd_crossed_down,rsi_neutral,-0.0377 ± 0.1885,shortonly,0.91
S149,OP-USD,Short: macd_crossed_down,rsi_oversold,-0.0276 ± 0.1102,shortonly,0.09
S150,OP-USD,Short: macd_crossed_down,rsi_overbought,nan ± nan,shortonly,0.00
S151,OP-USD,Short: macd_crossed_down,rebound,nan ± nan,shortonly,0.00
S152,OP-USD,Short: macd_crossed_down,bearish,0.0309 ± 0.1640,shortonly,0.48
S153,OP-USD,Short: macd_crossed_down,bullish,nan ± nan,shortonly,0.00
S154,OP-USD,Short: macd_crossed_down,retrace,-0.0989 ± 0.1787,shortonly,0.52
S155,OP-USD,Long: mean_reversion,rsi_neutral,0.0225 ± 0.4113,longonly,0.94
S156,OP-USD,Long: mean_reversion,rsi_oversold,0.0420 ± nan,longonly,0.06
S157,OP-USD,Long: mean_reversion,rsi_overbought,nan ± nan,longonly,0.00
S158,OP-USD,Long: mean_reversion,rebound,-0.0997 ± 0.1147,longonly,0.18
S159,OP-USD,Long: mean_reversion,bearish,-0.0900 ± 0.1713,longonly,0.59
S160,OP-USD,Long: mean_reversion,bullish,nan ± nan,longonly,0.00
S161,OP-USD,Long: mean_reversion,retrace,0.4003 ± 0.7083,longonly,0.24
S162,OP-USD,Short: mean_reversion,rsi_neutral,0.0087 ± 0.3074,shortonly,0.87
S163,OP-USD,Short: mean_reversion,rsi_oversold,nan ± nan,shortonly,0.00
S164,OP-USD,Short: mean_reversion,rsi_overbought,-0.2534 ± 0.4597,shortonly,0.13
S165,OP-USD,Short: mean_reversion,rebound,-0.0204 ± 0.1292,shortonly,0.47
S166,OP-USD,Short: mean_reversion,bearish,nan ± nan,shortonly,0.00
S167,OP-USD,Short: mean_reversion,bullish,-0.0313 ± 0.4414,shortonly,0.53
S168,OP-USD,Short: mean_reversion,retrace,nan ± nan,shortonly,0.00
S169,BNB-USD,Long: macd_crossed_up,rsi_neutral,0.0187 ± 0.1060,longonly,1.00
S170,BNB-USD,Long: macd_crossed_up,rsi_oversold,nan ± nan,longonly,0.00
S171,BNB-USD,Long: macd_crossed_up,rsi_overbought,nan ± nan,longonly,0.00
S172,BNB-USD,Long: macd_crossed_up,rebound,0.0279 ± 0.1218,longonly,0.57
S173,BNB-USD,Long: macd_crossed_up,bearish,nan ± nan,longonly,0.00
S174,BNB-USD,Long: macd_crossed_up,bullish,0.0063 ± 0.0819,longonly,0.42
S175,BNB-USD,Long: macd_crossed_up,retrace,nan ± nan,longonly,0.00
S176,BNB-USD,Short: macd_crossed_down,rsi_neutral,-0.0126 ± 0.0736,shortonly,0.95
S177,BNB-USD,Short: macd_crossed_down,rsi_oversold,0.0465 ± 0.1042,shortonly,0.05
S178,BNB-USD,Short: macd_crossed_down,rsi_overbought,nan ± nan,shortonly,0.00
S179,BNB-USD,Short: macd_crossed_down,rebound,nan ± nan,shortonly,0.00
S180,BNB-USD,Short: macd_crossed_down,bearish,0.0334 ± 0.0845,shortonly,0.23
S181,BNB-USD,Short: macd_crossed_down,bullish,nan ± nan,shortonly,0.00
S182,BNB-USD,Short: macd_crossed_down,retrace,-0.0225 ± 0.0679,shortonly,0.77
S183,BNB-USD,Long: mean_reversion,rsi_neutral,0.0368 ± 0.0892,longonly,0.93
S184,BNB-USD,Long: mean_reversion,rsi_oversold,-0.0014 ± nan,longonly,0.07
S185,BNB-USD,Long: mean_reversion,rsi_overbought,nan ± nan,longonly,0.00
S186,BNB-USD,Long: mean_reversion,rebound,-0.0041 ± nan,longonly,0.07
S187,BNB-USD,Long: mean_reversion,bearish,0.0129 ± 0.0615,longonly,0.64
S188,BNB-USD,Long: mean_reversion,bullish,nan ± nan,longonly,0.00
S189,BNB-USD,Long: mean_reversion,retrace,0.0910 ± 0.1267,longonly,0.29
S190,BNB-USD,Short: mean_reversion,rsi_neutral,0.0162 ± 0.0339,shortonly,0.81
S191,BNB-USD,Short: mean_reversion,rsi_oversold,nan ± nan,shortonly,0.00
S192,BNB-USD,Short: mean_reversion,rsi_overbought,-0.1376 ± 0.3892,shortonly,0.19
S193,BNB-USD,Short: mean_reversion,rebound,0.0292 ± 0.0216,shortonly,0.31
S194,BNB-USD,Short: mean_reversion,bearish,nan ± nan,shortonly,0.00
S195,BNB-USD,Short: mean_reversion,bullish,-0.0312 ± 0.1999,shortonly,0.62
